"name","scie","lang","tags"
"Bathua leaves","Chenopodium album","A. Jilmil sak; B. Beto sak; G. Chilni bhaji; H. Bathua sagu; Kan. Sakothina soppu; Kash. Ushtahak; Kh. Sla jada; Mal. Parippuchira; M. Monsaobi; Mar. Chakavath; N. Bethe ko saag; O. Bathua sag; P. Bathu sag; Tel. Pappukura; Tam. Paruppukkeerai.","vegetarian eggetarian fishetarian veg"
"Beet greens","Beta vulgaris","A. Beetar sak; E. Beet greens; G. Beet ni bhaji; H. Chukandhar sag; Kan. Beet root soppu; Kash. Chogander Munji; Kh. Sla bit; Mal. Beet root cheera; Mar. Beet root ka sag; N. Bengali Palungo ko Saag; P. Chukandhar da sag; Tam. Beet root keerai; Tel. Beet root; U. beet patta.","vegetarian eggetarian fishetarian veg"
"Cabbage, collard greens","Brassica oleracea var. viridis","G. Kobi na pan; Kash. Bandh; Kh. Sla kubi; Tam. Seemai parattai keerai.","vegetarian eggetarian fishetarian veg"
"Betel leaves, big (kolkata)","Piper betle","A. paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew Dkhar; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P.  Pan-da-patta; Tam. Vetrilai; Tel. Thamala paku; U. Paan ka patta.","vegetarian eggetarian fishetarian veg"
"Betel leaves, small","Piper betle","A. Paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P. Pan-da-patta; Tel. Thamala paku; Tam. Vetrilai; U. Paan ka patta.","vegetarian eggetarian fishetarian veg"
"Brussels sprouts","Brassica oleracea var. gemmifera","B. Biliti Bandhakopi; G. Nani kobi; H. Choote gobi; Kan. Mara kosu; Kash. Haakh; Mal. Kalakose; Mar. Chotee gobi; O. Chota bandha; P. Chooti band gobi; Tam. Kalaikose; Tel. Chinna cabbage; U. Choti bund gobh.","vegetarian eggetarian fishetarian veg"
"Rice bran oil","","","vegetarian eggetarian fishetarian veg"
"Cabbage, green","Brassica oleracea var. capitata f. alba","A. Bondhakobi; B. Badha kopi; G. Lili kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi; Mal. Muttu gose; M. Kobi Mana; Mar. Kobi; N. Banda kovi; O. Bandha kobi; P. Patta gobhi; S. Shaakaprabhedah; Tel. Gos koora; Tam. Muttaikose; U. Gobhi.","vegetarian eggetarian fishetarian veg"
"Cabbage, violet","Brassica oleracea var. capitata f. rubra","A. Bondhakobi; B. Badha kopi; E. Red cabbage, Purple cabbage, Red Kraut, Blur kraut; G. Lal kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi saw; Mal. Muttu gose; Mar. Kobi; N. Banda kovi; O. Bandha kopee; P. Patta gobhi; S. Shaakaprabhedah; Tam. Muttaikose; Tel. Gos koora; U. Gobhi.","vegetarian eggetarian fishetarian veg"
"Cauliflower leaves","Brassica oleracea var. botrytis","A. Phul kobir pat; B. Phul gopi pata; G. Fulawar na pan; H. Phul gobi patta; Kan. Hukosu; Kash. Phoolgobi panwathir; Kh. Sla phul; Mal. Cauliflower; M. Kobithamchetmai mana; Mar. Phul gobi; N. Kauli; O. Phula Kobi patra; P. Phool gobi di patte; S. Gojihvaa; Tam. Pookosu keerai; Tel. Go puvvu; U. Phul gobi.","vegetarian eggetarian fishetarian veg"
"Safflower oil","","","vegetarian eggetarian fishetarian veg"
"Colocasia leaves, green","Colocasia anti-quorum","A. Kasu sak; B. Kochu pata; G. Advi na pan; H. Arvi ka sag; Kan. Shamangadda yele; Kh. Sla wang; Mal. Chembu ilagal; M. Paan mana; Mar. Alu pan; N. Karkalo; O. Saru saga; P. Arbi-di-patte; Tam. Seppam ilaigal; Tel. Chama akulu; U. Arvi ka patta.","vegetarian eggetarian fishetarian veg"
"Drumstick leaves","Moringa oleifera","A. Sajina paat; B. Sajna pata; E. Horseradish leaves, Benzoil leaves; G. Saragwa na pan; H. Saijan patta; Kan. Nuggeyele; Mal. Muringa ela; M. Sajana mana; Mar. Shevaga pan; O. Sajna sag; P. Soanjhna da patta; Tam. Murungai keerai; Tel. Mulaga akulu; U. Sujineki palli.","vegetarian eggetarian fishetarian veg"
"Fenugreek leaves","Trigonella foenum graecum","A. Methi paat; B. Methi shak; G. Methi pandada; H. Methi sag; Kan. Menthya soppu; Kash. Kasori Methi; Kh. Sla methi; Mal. Uluva ila; M. Methi man; Mar. Methi sag; N. Methi pata; O. Methi sag; P. Methi di patte; Tel. Menthikoora; Tam. Vendhaiya keerai; U. Methi.","vegetarian eggetarian fishetarian veg"
"Garden cress","Lepidium sativum","A. Bor manimuni; B. Halim sag; G. Asadio na pan; H. Halim ka patta; Kan. Allibija soppu; Kash. Halyun; Kh. Khliang syiar; Mal. Alivirai cheera; Mar. Ahiva ka patta; N. Chamsoor ko Saag; O. Kakharu Saga; P. Halim-da-sag; Tam. Alivirai keerai; Tel. Adityala akulu.","vegetarian eggetarian fishetarian veg"
"Gogu leaves, green","Hibiscus cannabinus","A. Tengamora; B. Mestapat; E. Roselle Leaves; G. Ambadi; H. Pitwa; Kan. Pundi; Kh. Sla jajew jyrngam; Mal. Pulichai cheera; M. Sougri mana; Mar. Ambadi; O. Nalite saga; P. Pitwa sag; Tam. Pulichchai keerai; Tel. Gongura; U. Ambada ki bhaji.","vegetarian eggetarian fishetarian veg"
"Gogu leaves, red","Hibiscus cannabinus","A. Tengamora; B. Mestapat; E. Roselle Leaves; G. Ambadi; H. Pitwa; Kan. Pundi; Kh. Sla jajew saw; Mal. Pulichai cheera; M. Sougri mana; Mar. Ambadi; O. Nalite saga; P. Pitwa sag; Tam. Pulichchai keerai; Tel. Gongura; U. Ambada ki bhaji.","vegetarian eggetarian fishetarian veg"
"Pak Choi leaves","Brassica rapa var. Chinensis","E. Bok choy, Horse`s ear, Chinese celery cabbage, White mustard cabbage; G. Pak choi na pan.","vegetarian eggetarian fishetarian veg"
"Knol-Khol, leaves","Brassica oleracea var. gongylodes","A. Ool kobi; B. Olkopi sag; E. Knol Knol, Kohlrabi, Wild cabbage greens; G. Gath kobi na pan; H. Ganth gobi ka sag; Kan. Gedde kosu; Kash. Hakh Monji; Kh. Phan Kubi; Mal. Knol-khol cheera; M. Kobi Maru Kabi; Mar. Nol khol ka patta; N. Salgam ko saag; O. Ulgobi saga; P. Ganth gobi sag; Tam. Knol-Khol keerai; Tel. Knol-khol akulu.","vegetarian eggetarian fishetarian veg"
"Lettuce","Lactuca sativa","A. Salad paat; G. Lettuce na pan; H. Salad ka patta; Kan. Lettuce soppu; Kash. Hakh; Kh. Salat dkhar; Mal. Lettuce cheera; Mar. Lettuce ka patta; N. Saalad ko paat; P. Salada sag; Tam. Ilaikosu; Tel. Kavu akulu; U. Kismisaag.","vegetarian eggetarian fishetarian veg"
